VFDB,Organism,VF_ID,Genbank_ID,Gene,Operon,Function,Broad function,inf_case,inf_control,uninf_case,uninf_control
VFG000877(gb|NP_757245)_(fimF)_FimF_protein_precursor_[type_1_fimbriae_(VF0221)]_[Escherichia_coli_CFT073],E. coli,VFG000877,gb | NP_757245,fimF,fim,fimF fimbrial protein precursor (E. coli),adhesion,0.06106,0.01286,0.03093,0.00704
VFG000878(gb|NP_757247)_(fimG)_FimG_protein_precursor_[type_1_fimbriae_(VF0221)]_[Escherichia_coli_CFT073],E. coli,VFG000878,gb | NP_757247,fimG,fim,fimG fimbrial protein precursor (E. coli),adhesion,0.0793,0.01607,0.03335,0.00821
VFG000942(gb|AAK16475)_(draA)_cytoplamic_protein_DraA_[Dr_adhesins_(VF0223)]_[Escherichia_coli_O75:K5:H-_str._IH11128],E. coli,VFG000942,gb | AAK16475,draA,dra,draA adhesin cytoplasmic protein (E. coli),adhesion,0.03616,0.01226,0.00027,0.00081
VFG000943(gb|AAK16476)_(draB)_chaperone_protein_DraB_[Dr_adhesins_(VF0223)]_[Escherichia_coli_O75:K5:H-_str._IH11128],E. coli,VFG000943,gb | AAK16476,draB,dra,draB adhesin chaperone protein (E. coli),adhesion,0.0223,0.00685,8.00E-05,0.00058
VFG000944(gb|AAK16477)_(draC)_usher_protein_DraC_[Dr_adhesins_(VF0223)]_[Escherichia_coli_O75:K5:H-_str._IH11128],E. coli,VFG000944,gb | AAK16477,draC,dra,draC adhesin usher protein (E. coli),adhesion,0.02373,0.00937,0.00033,0.00111
"VFG000945(gb|AAK16478)_(draD)_DraD,_periplasmic_protein_[Dr_adhesins_(VF0223)]_[Escherichia_coli_O75:K5:H-_str._IH11128]",E. coli,VFG000945,gb | AAK16478,draD,dra,draD adhesin periplasmic usher protein (E. coli),adhesion,0.02744,0.01019,2.00E-04,0.00078
VFG000946(gb|AAK16479)_(draP)_DraP_[Dr_adhesins_(VF0223)]_[Escherichia_coli_O75:K5:H-_str._IH11128],E. coli,VFG000946,gb | AAK16479,draP,dra,draP adhesin protein (E. coli),adhesion,0.02821,0.01114,0.00032,0.00067
VFG001443(gb|AAF37887)_(ompA)_outer_membrane_protein_A_[OmpA_(VF0236)]_[Escherichia_coli_O18:K1:H7_str._RS218],E. coli,VFG001443,gb | AAF37887,ompA,omp,ompA outer membrane protein A,adhesion,0.07682,0.0241,0.03546,0.00716
"VFG042423(gb|CAW30797)_(afaA)_fimbrial_major_subunit_AfaA_[Afimbrial_adhesin,_AFA-I,_mannose-resistant_adhesin_(AI010)]_[Escherichia_coli_O25b:H4_str._FV9863]",E. coli,VFG042423,gb | CAW30797,afaA,afa,afimbrial adhesin subunit (E. coli),adhesion,0.00967,0.00249,0,0.00037
"VFG042424(gb|CAW30798)_(afaB-I)_chaperone_AfaB_[Afimbrial_adhesin,_AFA-I,_mannose-resistant_adhesin_(AI010)]_[Escherichia_coli_O25b:H4_str._FV9863]",E. coli,VFG042424,gb | CAW30798,afaB-I,afa,afaB-1 afimbrial adhesin chaperone protein (E. coli),adhesion,0.01728,0.00404,0,0.00047
"VFG042425(gb|CAW30799)_(afaC-I)_usher_AfaC_[Afimbrial_adhesin,_AFA-I,_mannose-resistant_adhesin_(AI010)]_[Escherichia_coli_O25b:H4_str._FV9863]",E. coli,VFG042425,gb | CAW30799,afaC-I,afa,afimbrial adhesin usher protein (E. coli),adhesion,0.01974,0.00098,6.00E-05,0.00028
VFG042446(gb|ABU51870)_(daaC)_DaaC_usher_protein__[F1845_fimbrial_adhesin_(AI016)]_[Escherichia_coli_str._C1845],E. coli,VFG042446,gb | ABU51870,daaC,daa,daaC fimbrial adhesin usher protein (E. coli),adhesion,0.00422,0.00013,0,0
VFG042447(gb|AAA23662)_(daaF)_DaaF_protein_[F1845_fimbrial_adhesin_(AI016)]_[Escherichia_coli_str._C1845],E. coli,VFG042447,gb | AAA23662,daaF,daa,daaF fimbrial adhesin usher protein (E. coli),adhesion,0.03205,0.01235,9.00E-05,6.00E-04
VFG042459(gb|AAC41418)_(cfaD')_colonisation_factor_antigen_d'_[Colonization_factor_antigen_I_fimbriae_(CFA/I)_(AI018)]_[Escherichia_coli_str._E7473],E. coli,VFG042459,gb | AAC41418,cfaD,cfa,cfaD colonization factor antigen (E. coli),adhesion,0.00559,0.00087,0.00281,0
VFG042552(gb|YP_002295985)_(faeD)_fimbrial_usher_protein_FaeD_[K88_pili/F4_fimbriae_(AI040)]_[Escherichia_coli_SE11],E. coli,VFG042552,gb | YP_002295985,faeD,fae,faeD fimbrial usher protein (E. coli),adhesion,0.00942,0.00156,0.00175,0.00026
VFG042553(gb|YP_002295986)_(faeE)_fimbrial_chaperone_FaeE_[K88_pili/F4_fimbriae_(AI040)]_[Escherichia_coli_SE11],E. coli,VFG042553,gb | YP_002295986,faeE,fae,faeE fimbrial chaperone protein (E. coli),adhesion,0.00839,0.00158,0.00215,0.00028
VFG042554(gb|YP_002295987)_(faeF)_fimbrial_protein_FaeF_[K88_pili/F4_fimbriae_(AI040)]_[Escherichia_coli_SE11],E. coli,VFG042554,gb | YP_002295987,faeF,fae,faeF fimbrial protein (E. coli),adhesion,0.00627,0.0018,0.00028,0.00015
VFG042557(gb|YP_002295990)_(faeI)_fimbrial_protein_FaeI_[K88_pili/F4_fimbriae_(AI040)]_[Escherichia_coli_SE11],E. coli,VFG042557,gb | YP_002295990,faeI,fae,faeI fimbrial protein (E. coli),adhesion,0.00416,0.00099,0.00027,8.00E-05
VFG042558(gb|YP_002295991)_(faeJ)_fimbrial_protein_FaeJ_[K88_pili/F4_fimbriae_(AI040)]_[Escherichia_coli_SE11],E. coli,VFG042558,gb | YP_002295991,faeJ,fae,faeJ fimbrial protein (E. coli),adhesion,0.00964,0.00209,0.00031,1.00E-04
VFG045349(gb|YP_002390132)_(fdeC)_adhesin_FdeC_[FdeC_(VF0506)]_[Escherichia_coli_O45:K1:H7_str._S88],E. coli,VFG045349,gb | YP_002390132,fdeC,fde,fdeC adhesion protein (E. coli),adhesion,0.06136,0.01798,0.02952,0.0058
