Full_ID,Organism,VF_ID,Genbank_ID,Gene,Operon,function,description,pathpos_case,pathpos_control,pathneg_case,pathneg_control
"VFG042423(gb|CAW30797) (afaA) fimbrial major subunit AfaA [Afimbrial adhesin, AFA-I, mannose-resistant adhesin (AI010)] [Escherichia coli O25b:H4 str. FV9863]",E. coli,VFG042423,gb|CAW30797) (75277,afaA,afa,afimbrial adhesin subunit,afaA afimbrial adhesin subunit (E. coli),0.01006,0.00242,0,0.00011
"VFG042424(gb|CAW30798) (afaB-I) chaperone AfaB [Afimbrial adhesin, AFA-I, mannose-resistant adhesin (AI010)] [Escherichia coli O25b:H4 str. FV9863]",E. coli,VFG042424,gb|CAW30798) (75278,afaB-I,afa,afimbrial adhesin chaperone protein,afaB-I afimbrial adhesin chaperone protein (E. coli),0.01797,0.00395,0,2.00E-05
"VFG042425(gb|CAW30799) (afaC-I) usher AfaC [Afimbrial adhesin, AFA-I, mannose-resistant adhesin (AI010)] [Escherichia coli O25b:H4 str. FV9863]",E. coli,VFG042425,gb|CAW30799) (75279,afaC-I,afa,afimbrial adhesin usher protein,afaC-I afimbrial adhesin usher protein (E. coli),0.02053,0.00113,6.00E-05,1.00E-05
"VFG042435(gb|CAA62863) (afaE-V) AfaE-V adhesin [Afimbrial adhesin, AFA-V (AI013)] [Escherichia coli str. AL 851]",E. coli,VFG042435,gb|CAA62863,afaE-V,afa,afimbrial adhesin,afaE-V afimbrial adhesin (E. coli),0.00496,0.00156,4.00E-05,0
VFG001444(gb|AAG10151) (aslA) putative arylsulfatase [AslA (VF0238)] [Escherichia coli O18:K1:H7 str. RS218],E. coli,VFG001444,gb|AAG10151) (75271,aslA,asl,putative arylsulfatase,aslA putative arylsulfatase (E. coli),0.06126,0.01548,0.03142,0.00243
VFG000863(gb|BAA94855) (astA) heat-stable enterotoxin 1 [EAST1 (VF0216)] [Escherichia coli O44:H18 042],E. coli,VFG000863,gb|BAA94855) (75275,astA,ast,heat-stable enterotoxin,astA heat-stable enterotoxin (E. coli),0.07511,0.00952,0.00358,0.00188
VFG000917(gb|NP 756170) (chuA) Outer membrane heme/hemoglobin receptor ChuA [Chu (VF0227)] [Escherichia coli CFT073],E. coli,VFG000917,gb|NP 752770,chuA,chu,outer membrane heme/hemoglobin receptor,chuA outer membrane heme/hemoglobin receptor (E. coli),0.03063,0.00228,0.02894,0.00043
VFG000916(gb|NP 756169) (chuS) heme oxygenase ChuS [Chu (VF0227)] [Escherichia coli CFT073],E. coli,VFG000916,gb|NP 752769,chuS,chu,heme oxygenase,chuS heme oxygenase (E. coli),0.03017,0.00236,0.02573,0.00043
VFG000918(gb|NP 756175) (chuT) periplasmic heme-binding protein ChuT [Chu (VF0227)] [Escherichia coli CFT073],E. coli,VFG000918,gb|NP 752775,chuT,chu,periplasmic heme-binding protein,chuT periplasmic heme-binding protein (E. coli),0.02374,0.00128,0.02132,0.00013
VFG000919(gb|NP 756176) (chuW) Putative oxygen independent coproporphyrinogen III oxidase [Chu (VF0227)] [Escherichia coli CFT073],E. coli,VFG000919,gb|NP 752776,chuW,chu,putative oxygen independent coproporphyrinogen III oxidase,chuW putative oxygen independent coproporphyrinogen III oxidase (E. coli),0.04007,0.00368,0.02963,0.00075
VFG000920(gb|NP 756177) (chuX) putative heme-binding protein ChuX [Chu (VF0227)] [Escherichia coli CFT073],E. coli,VFG000920,gb|NP 752777,chuX,chu,putative heme-binding protein,chuX putative heme-binding protein (E. coli),0.02278,0.00143,0.02626,0.00032
